Date,Time,Exercise,# of Reps,Weight,Notes
"2/29/20","10:06","Cable Lat Stretch - Narrow Grip","10","70"
"2/29/20","10:06","Cable Lat Stretch - Wide Grip","10","70",""
"2/29/20","10:06","Cable Lat Stretch - Wide Grip","10","70"
"2/29/20","10:05","Kettlebell Laying Hip Bridge","10","20",""
"2/29/20","09:56","Kettlebell Laying Hip Thrust","10","20",""
"2/29/20","09:55","Kettlebell One-leg Same-side Deadlift","10","30","Left leg only"
"2/29/20","09:55","Kettlebell One-leg Opposite-side Deadlift","10","30","Left leg only"
"2/29/20","09:51","Kettlebell One-Hand Side Swing","20","20",""
"2/29/20","09:50","Kettlebell Figure-8s","20","30",""
"2/29/20","09:50","Kettlebell Swing","20","30",""
"2/29/20","09:50","Kettlebell Woodchop Swing","20","30",""
"2/29/20","09:47","Kettlebell Slingshot","20","30",""
"2/29/20","09:41","Kettlebell Laying Hip Bridge","10","20",""
"2/29/20","09:38","Kettlebell Laying Hip Thrust","10","20",""
"2/29/20","09:34","Kettlebell One-leg Opposite-side Deadlift","10","30","No right leg"
"2/29/20","09:33","Kettlebell One-leg Same-side Deadlift","20","30",""
"2/29/20","09:31","Kettlebell One-Hand Side Swing","20","20",""
"2/29/20","09:30","Kettlebell Woodchop Swing","20","20",""
"2/29/20","09:29","Kettlebell Swing","20","30",""
"2/29/20","09:28","Kettlebell Figure-8s","20","30",""
"2/29/20","09:27","Kettlebell Slingshot","20","30",""
"2/27/20","19:48","Cable Lat Stretch - Wide Grip","15","70",""
"2/27/20","19:48","Cable Lat Stretch - Wide Grip","15","70"
"2/27/20","19:47","Standing Crunch","15","0",""
"2/27/20","19:47","Standing Crunch","15","0"
"2/27/20","19:47","Standing Side Bend","15","0",""
"2/27/20","19:47","Standing Side Bend","15","0"
"2/27/20","19:47","Bird Dog","15","0",""
"2/27/20","19:47","Bird Dog","15","0"
"2/27/20","19:47","Plank","15","0",""
"2/27/20","19:47","Plank","15","0"
"2/27/20","19:47","Cobra","15","0",""
"2/27/20","19:47","Cobra","15","0"
"2/27/20","19:47","Laying Elbow-back Lifts","15","0",""
"2/27/20","19:47","Laying Elbow-back Lifts","15","0"
"2/27/20","19:47","Laying Leg Lift And Hold","15","0",""
"2/27/20","19:47","Laying Leg Lift And Hold","15","0"
"2/27/20","19:47","laying side hip adductor lift","15","0",""
"2/27/20","19:47","laying side hip adductor lift","15","0"
"2/27/20","06:19","Goblet Squat","10","20",""
"2/27/20","06:19","Goblet Squat","15","20"
"2/27/20","06:19","Goblet Squat","15","20"
"2/27/20","06:19","Romanian Deadlifts","10","40",""
"2/27/20","06:19","Romanian Deadlifts","10","40"
"2/27/20","06:19","Romanian Deadlifts","10","40"
"2/27/20","06:19","Cable Lat Stretch - Wide Grip","10","70",""
"2/27/20","06:19","Cable Lat Stretch - Wide Grip","10","70"
"2/27/20","06:19","Cable Lat Stretch - Wide Grip","10","70"
"2/27/20","06:13","Standing Heel Raises","30","60",""
"2/27/20","06:13","Shoulder Shrug","10","60",""
"2/27/20","06:12","Bent-over Flyes","12","40",""
"2/27/20","06:10","Biceps Curl","5","40",""
"2/27/20","06:10","Shoulder Press","5","40",""
"2/27/20","06:10","Bench Press","12","50",""
"2/27/20","06:09","Hammer Curls","5","40",""
"2/27/20","06:08","Lateral Raise","10","30",""
"2/27/20","06:08","Overhead Triceps Extensions","12","35",""
"2/27/20","06:02","Shoulder Shrug","20","60",""
"2/27/20","06:00","Bent-over Flyes","10","40",""
"2/27/20","06:00","Standing Heel Raises","30","60",""
"2/27/20","05:58","Kneeling Wood Throws","15","30",""
"2/27/20","05:56","Shoulder Press","5","40",""
"2/27/20","05:56","Bench Press","12","50",""
"2/27/20","05:55","Hammer Curls","5","40",""
"2/27/20","05:55","Biceps Curl","5","40",""
"2/27/20","05:54","Overhead Triceps Extensions","12","35",""
"2/27/20","05:53","Lateral Raise","10","30",""
"2/27/20","05:44","Shoulder Shrug","20","50",""
"2/27/20","05:43","Standing Heel Raises","30","50",""
"2/27/20","05:42","Russian Twist","10","30",""
"2/27/20","05:42","Bent-over Flyes","10","40",""
"2/27/20","05:39","Kneeling Wood Throws","20","30",""
"2/27/20","05:37","Biceps Curl","5","40",""
"2/27/20","05:37","Shoulder Press","5","40",""
"2/27/20","05:37","Bench Press","12","50",""
"2/27/20","05:36","Hammer Curls","5","40",""
"2/27/20","05:35","Overhead Triceps Extensions","12","35",""
"2/27/20","05:34","Lateral Raise","10","30",""
"2/26/20","19:48","Cable Lat Stretch - Wide Grip","15","70",""
"2/26/20","19:48","Cable Lat Stretch - Wide Grip","15","70"
"2/26/20","19:40","Standing Crunch","15","0",""
"2/26/20","19:40","Standing Crunch","15","0"
"2/26/20","19:40","Standing Side Bend","15","0",""
"2/26/20","19:40","Standing Side Bend","15","0"
"2/26/20","19:40","Bird Dog","15","0",""
"2/26/20","19:40","Bird Dog","15","0"
"2/26/20","19:40","Plank","15","0",""
"2/26/20","19:40","Plank","15","0"
"2/26/20","19:40","Cobra","15","0",""
"2/26/20","19:40","Cobra","15","0"
"2/26/20","19:40","Laying Elbow-back Lifts","15","0",""
"2/26/20","19:40","Laying Elbow-back Lifts","15","0"
"2/26/20","19:40","Laying Leg Lift And Hold","15","0",""
"2/26/20","19:40","Laying Leg Lift And Hold","15","0"
"2/26/20","19:40","laying side hip adductor lift","15","0",""
"2/26/20","19:40","laying side hip adductor lift","15","0"
"2/26/20","05:57","Reverse Bicep Curls","10","40",""
"2/26/20","05:57","Shoulder Press","5","40",""
"2/26/20","05:57","Cable Lat Stretch - Wide Grip","10","70",""
"2/26/20","05:57","One leg cobra","10","30",""
"2/26/20","05:55","Front Lateral Raise","10","30",""
"2/26/20","05:53","Concentration Curls","16","25",""
"2/26/20","05:52","One-Arm Rows","20","35",""
"2/26/20","05:51","Triceps Extension","10","40",""
"2/26/20","05:51","Leg Raise","10","0",""
"2/26/20","05:51","Straight Arm Pullover","10","35",""
"2/26/20","05:43","Cable Lat Stretch - Wide Grip","10","70",""
"2/26/20","05:43","bench reverse press","12","50",""
"2/26/20","05:42","One leg cobra","10","30",""
"2/26/20","05:41","Shoulder Press","5","40",""
"2/26/20","05:41","Cable Lat Stretch - Wide Grip","10","70",""
"2/26/20","05:40","Reverse Bicep Curls","10","40",""
"2/26/20","05:39","Front Lateral Raise","10","30",""
"2/26/20","05:38","Concentration Curls","16","25",""
"2/26/20","05:37","Leg Raise","10","0",""
"2/26/20","05:37","Straight Arm Pullover","10","35",""
"2/26/20","05:37","One-Arm Rows","20","35",""
"2/26/20","05:36","Triceps Extension","10","40",""
"2/26/20","05:30","bench reverse press","12","50",""
"2/26/20","05:28","One leg cobra","10","30",""
"2/26/20","05:27","Shoulder Press","5","40",""
"2/26/20","05:25","Front Lateral Raise","10","30",""
"2/26/20","05:25","Reverse Bicep Curls","10","40",""
"2/26/20","05:22","Concentration Curls","16","25",""
"2/26/20","05:20","Triceps Extension","9","40",""
"2/26/20","05:20","Leg Raise","10","0",""
"2/26/20","05:20","Straight Arm Pullover","10","30",""
